	hamlet#23990;antonyandcleopatra#23809;cymbeline#23615;winterstale#21652;othello#21411;coriolanus#20369;troilusandcressida#19269;kinghenryviii#19071;kinglear#18796;kingrichardiii#16267;measureforemeasure#15665;juliuscaesar#15268;romeoandjuliet#14489;loveslabourslost#14211;allswellthatendswell#14163;macbeth#13975;2kinghenryiv#13950;merrywivesofwindsor#13452;1kinghenryiv#13055;merchantofvenice#12924;twelfthnight#12548;tempest#12544;tamingoftheshrew#12473;kinghenryv#12251;timonofathens#11960;kingjohn#11356;muchadoaboutnothing#11194;asyoulikeit#10617;2kinghenryvi#10594;periclesprinceoftyre#10315;3kinghenryvi#10298;twogentlemenofverona#10263;midsummersnightsdream#10188;titusandronicus#9805;kingrichardii#9673;1kinghenryvi#8807;comedyoferrors#6679;sonnets#3039;rapeoflucrece#2160;venusandadonis#1789;glossary#1320;various#666;loverscomplaint#442
Ah	3kinghenryvi#27;2kinghenryvi#19;romeoandjuliet#15;titusandronicus#12;antonyandcleopatra#10;kingrichardii#6;kingrichardiii#5;troilusandcressida#5;2kinghenryiv#5;loveslabourslost#5;sonnets#5;hamlet#4;1kinghenryvi#3;kinghenryviii#3;merrywivesofwindsor#3;comedyoferrors#3;various#3;twelfthnight#2;midsummersnightsdream#2;kingjohn#2;timonofathens#2;cymbeline#1;macbeth#1;kinghenryv#1;1kinghenryiv#1;tamingoftheshrew#1;muchadoaboutnothing#1;twogentlemenofverona#1;allswellthatendswell#1;asyoulikeit#1;othello#1
Aim	kingrichardii#1
Aiming	kingrichardiii#1;twogentlemenofverona#1
Ainsi	kinghenryv#1
Aio	2kinghenryvi#1
Air	various#2;loveslabourslost#2;muchadoaboutnothing#1
Airy	kingrichardiii#1
Ajax	troilusandcressida#55;rapeoflucrece#2;loveslabourslost#2;kinglear#1;cymbeline#1;2kinghenryvi#1;titusandronicus#1;tamingoftheshrew#1;antonyandcleopatra#1
Al	tamingoftheshrew#1
Alack	kinglear#13;romeoandjuliet#7;tempest#3;hamlet#3;kingrichardii#3;antonyandcleopatra#3;merchantofvenice#3;kingrichardiii#2;cymbeline#2;winterstale#2;coriolanus#1;periclesprinceoftyre#1;macbeth#1;midsummersnightsdream#1;2kinghenryiv#1;loveslabourslost#1;timonofathens#1;asyoulikeit#1;kingjohn#1;sonnets#1
Alarbus	titusandronicus#2
